track,item_id,citation_index,url,title,passage,claim,support_rationale,gold_label,notes
synthesis,synthesis_001_ie_timeline_compression,4,https://www.forethought.org/research/three-types-of-intelligence-explosion,Three Types of Intelligence Explosion,"Even if a software intelligence explosion never materializes or plateaus quickly, AI-technology and full-stack intelligence explosions remain possible. And, while these would start more gradually, they could accelerate to very fast rates of development.","The trio argue that ""a software intelligence explosion would by default concentrate power within one country or company, while a full-stack intelligence explosion would be spread across many countries and industries"" .","UNSUPPORTIVE

The passage mentions both software intelligence explosions and full-stack intelligence explosions but discusses only their likelihood and development speed, not the distribution or concentration of power claimed. The cited passage does not address the core claim about where power would concentrate between these two types of explosions.",,
arguments,arguments_003_software_ie_acceleration,11,https://www.forethought.org/research/three-types-of-intelligence-explosion,Three Types of Intelligence Explosion,"* **A software IE might well accelerate over time,** because the software feedback loop *by itself* might well be enough to sustain accelerating progress (\~50% likely). * Efficiency gains in various domains of AI suggest that doubling research inputs leads to more than a doublin…","Folding capability gains (not just efficiency) into the picture, and adjusting downward for compute bottlenecks on experiments, Davidson and Houlden (2025) estimate a central $r=1.2$ with a range of 0.4 to 3.6 .","UNSUPPORTIVE: The passage contains no mention of Davidson and Houlden, does not include the specific estimate of r=1.2 or the range 0.4 to 3.6, and does not discuss folding capability gains or adjusting for compute bottlenecks. While the passage discusses efficiency gains in AI research, it is disconnected from the claim's specific parameterization and methodology.",,
definitions,definitions_003_ai_character,3,https://www.forethought.org/research/the-importance-of-ai-character,The importance of AI character,"# 0. Intro Due to Claude’s Constitution and OpenAI’s model spec, the issue of AI character has started getting more attention, particularly concerning whether we want AI systems to be “obedient” or “ethical”.[^1] But we think it’s still not nearly enough. AI character (e.g.","The bigger claim is that character will meaningfully shape (i) challenges that persist *even if* technical alignment is solved, such as concentration of power, moral reflection, global catastrophe, and global conflict; (ii) the chance of AI takeover; and (iii) the value of worlds in which AI does take over .","UNSUPPORTIVE

The passage merely establishes that AI character is an under-discussed issue (noting the debate between ""obedient"" vs ""ethical"" systems), but it does not support the specific claim that character will meaningfully shape challenges persisting despite alignment, AI takeover odds, or post-takeover world value. The passage is from the right topic area but only frames character as an overlooked concern rather than substantiating the three-part causal claim about character's effects.",,
claim_recall,claim_recall_002,1,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","* **A software IE might well accelerate over time,** because the software feedback loop *by itself* might well be enough to sustain accelerating progress (\~50%). * **An AI-technology IE would likely accelerate.** The chip technology feedback loop *by itself* is probably enough to sustain accelerating progress (\~65%).",They note that this means the *combined* software-and-chip-technology loop characteristic of an AI-technology IE is jointly likely to accelerate at around ~75% .,"UNSUPPORTIVE

The passage provides separate estimates for the software feedback loop (~50%) and chip technology feedback loop (~65%), but it does not state or explicitly imply that their combined effect yields ~75%. The passage is also incomplete (ending mid-sentence), so the full context for any combined estimate is missing.",,
arguments,arguments_001_ai_coups_distinct,6,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,":::inset Box 2: Illustrative scenario with all three risk factors ::: The three drivers of AI-enabled coup risk — singular loyalties to institutional leaders, secret loyalties, and exclusive access —- reinforce one another in important ways.",Openly singularly-loyal systems inside an AI project can be used to insert *secret* loyalties into successor systems; exclusive access to powerful AI advisors makes both singular and secret loyalties easier to obtain and verify .,"UNSUPPORTIVE

The passage merely identifies three risk factors and states they ""reinforce one another"" without explaining the specific causal mechanisms claimed—namely, that singular loyalties enable insertion of secret loyalties into successor systems, or that exclusive access facilitates obtaining and verifying both types of loyalties. The passage is too general to support these particular causal assertions.",,
claim_recall,claim_recall_005,0,https://www.forethought.org/research/how-quick-and-big-would-a-software-intelligence-explosion-be,How quick and big would a software intelligence explosion be?,| **Method** | **Forecasted initial speed-up in software progress due to ASARA** | | :-- | :-- | | Survey researchers about speed-ups from abundant cognitive labour – ask directly about total gain | 10X | | Survey researchers about speed-ups from abundant cognitive labour – ask s…,"They peg the speed-up at 5x for the ""superhuman coder"" — which the paper notes is less capable than ASARA — and 417x for the ""superhuman AI researcher"" — which is more capable than ASARA .","UNSUPPORTIVE

The cited passage does not contain the specific speedup figures mentioned in the claim (5x or 417x). Instead, the visible table entry shows ""10X"" as a forecasted speed-up, which matches neither number, and the passage appears to focus on speed-ups due to ASARA rather than comparisons between different entities relative to ASARA's capabilities.",,
synthesis,synthesis_001_ie_timeline_compression,10,https://www.forethought.org/research/preparing-for-the-intelligence-explosion,Preparing for the Intelligence Explosion,"## Challenges that arise early In some cases, the challenge will arise before AI can effectively manage the challenge. For example, we might well get AI that can interfere with (or greatly benefit) society’s collective reasoning ability before we can use AI to competently govern epistemically disruptive AI.","If you want to think about what could break that default, *Preparing for the Intelligence Explosion* on grand challenges  and Finnveden's ""no first-strike intelligence explosion"" norm proposal  are the natural next reads.","UNSUPPORTIVE

The passage discusses challenges that may arise before AI can effectively manage them, but it makes no mention of *Preparing for the Intelligence Explosion*, Finnveden, or any ""no first-strike intelligence explosion"" norm proposal. While the passage addresses a topically adjacent concern about governance of disruptive AI, it does not support the claim that these two specific works are ""the natural next reads.""",,
arguments,arguments_003_software_ie_acceleration,15,https://www.forethought.org/research/three-types-of-intelligence-explosion,Three Types of Intelligence Explosion,"* **A software IE might well accelerate over time,** because the software feedback loop *by itself* might well be enough to sustain accelerating progress (\~50% likely). * Efficiency gains in various domains of AI suggest that doubling research inputs leads to more than a doublin…","So the reconstructed argument is: (i) define a feedback loop's strength by $r$; (ii) acceleration requires the relevant $r$ (or sum of $r$s) to exceed 1; (iii) Epoch's cross-domain efficiency data plus an upward adjustment for capability gains put the central estimate of software-only $r$ modestly above 1, with wide uncertainty — enough to make a software intelligence explosion ""fairly plausible"" but not assured .","UNSUPPORTIVE

The passage discusses software feedback loops and efficiency gains in general terms, but does not introduce the variable $r$ to quantify feedback loop strength, state that acceleration requires $r$ to exceed 1, or provide a central estimate of software-only $r$ as ""modestly above 1."" While the passage addresses related concepts like the potential for accelerating progress (~50% likely) and efficiency improvements from increased inputs, it does not support the specific mathematical framework and technical claims that structure the reconstructed argument.",,
definitions,definitions_003_ai_character,7,https://www.forethought.org/research/ai-for-decision-advice,Desired behaviour for AI advising humans on important decisions,"# Desired behaviour for AI advising humans on important decisions **Abstract.** As AI gets smarter, people will increasingly turn to it for advice on important decisions — and those who do may gain outsized influence. So the quality of that advice really matters.","Davidson's follow-up note on AI advice for important decisions  and MacAskill and Moorhouse's ""Concrete Projects in AGI Preparedness""  then treat character evaluation as a concrete research and policy agenda flowing from this view.","UNSUPPORTIVE

The passage only discusses the general importance of quality AI advice on important decisions, but does not reference MacAskill and Moorhouse's ""Concrete Projects in AGI Preparedness,"" does not address character evaluation, and does not support the claim that character evaluation should be treated as a concrete research and policy agenda flowing from this view.",,
arguments,arguments_002_lock_in_mechanisms,11,https://www.forethought.org/research/beyond-existential-risk,Beyond Existential Risk,"In our view, the two most plausible mechanisms for such lock-in are as follows: First, AGI could enable the creation and enforcement of perpetually binding institutions, laws, or constitutions. This could occur in two ways.",Immortality and technological maturity then close off the two remaining avenues — generational and technological change — by which the configuration could naturally erode .,"UNSUPPORTIVE

The passage discusses mechanisms for lock-in through AGI-enabled perpetual institutions, but it does not explicitly explain how immortality and technological maturity close off generational and technological change as avenues for erosion. While the cited passage is from the relevant paper and addresses a related topic, it does not provide the specific causal argument the claim makes.",,
arguments,arguments_002_lock_in_mechanisms,8,https://www.forethought.org/research/persistent-path-dependence,Persistent Path-Dependence,"### 4.1.1. AGI-based institutions The argument for why AGI-based institutions could allow certain values or goals to persist indefinitely is made at length in ‘AGI and Lock-in’ by Lukas Finnveden et al[^14]. Though it’s worth reading the whole thing, I’ll briefly recap the argument in my own words here.","To get indefinite lock-in you need an actor with enough power to set the initial conditions — typically a global hegemon, allied coalition, or AGI-enforced treaty regime .","UNSUPPORTIVE

The passage merely cites another work and notes that AGI-based institutions could allow values to persist indefinitely, but it does not actually explain or support the specific claim about what actors or conditions are needed to establish indefinite lock-in (global hegemon, allied coalition, etc.). The passage is a citation placeholder rather than substantive support for the claim's particular requirements.",,
definitions,definitions_001_viatopia,8,https://www.forethought.org/research/introducing-better-futures,Introducing Better Futures,"Fourth, the better futures perspective doesn’t mean endorsing some narrow conception of an ideal future, as past utopian visions have often done. Given how much moral progress we should hope to make in the future, and how much we’ll learn about what’s even empirically possible, w…","MacAskill argues that ""some sufficiently-specified conception of viatopia should act as our north star during the transition to superintelligence"" , and from the better-futures perspective the key near-term priority is getting closer to viatopia rather than locking in any particular narrow end-state .","UNSUPPORTIVE: The passage explicitly states that the better-futures perspective does NOT mean endorsing ""some narrow conception of an ideal future,"" which directly contradicts the claim's assertion that MacAskill advocates for ""some sufficiently-specified conception of viatopia"" as a north star. Additionally, the passage does not mention viatopia at all, and the visible text suggests an emphasis on avoiding narrow prescriptions rather than anchoring to a specific conception.",,
